Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,LAPALISSE,0,0,1,0,0,03,03LAPALISSE,3138,2016
nan,LAVAULT SAINTE ANNE,0,0,1,0,0,03,03LAVAULT SAINTE ANNE,3140,2016
nan,MAYET DE MONTAGNE,1,0,0,0,0,03,03MAYET DE MONTAGNE,3165,2016
nan,MALICORNE,0,0,1,0,0,03,03MALICORNE,3159,2016
nan,MOULINS,5,3,0,0,0,03,03MOULINS,3190,2016
nan,MONTLUCON,0,4,0,0,0,03,03MONTLUCON,3185,2016
nan,NERIS LES BAINS,1,0,0,0,0,03,03NERIS LES BAINS,3195,2016
nan,SAINT GERMAIN DES FOSSES,2,0,0,0,0,03,03SAINT GERMAIN DES FOSSES,3236,2016
nan,SAINT POURCAIN SUR SIOULE,4,1,0,0,0,03,03SAINT POURCAIN SUR SIOULE,3254,2016
nan,SAINT YORRE,1,0,0,0,0,03,03SAINT YORRE,3264,2016
nan,TOULON SUR ALLIER,1,0,0,0,0,03,03TOULON SUR ALLIER,3286,2016
nan,VARENNES SUR ALLIER,2,0,0,0,0,03,03VARENNES SUR ALLIER,3298,2016
nan,VICHY,23,10,0,4,2,03,03VICHY,3310,2016
nan,YZEURE,4,3,0,0,0,03,03YZEURE,3321,2016
Alpes-de-Haute-Provence (04),ALLOS,3,1,0,0,0,04,04ALLOS,4006,2016
Digne,BARCELONNETTE,1,1,0,0,0,04,04BARCELONNETTE,4019,2016
nan,CASTELLANE,2,0,0,0,0,04,04CASTELLANE,4039,2016
nan,CHATEAU ARNOUX SAINT AUBAN,2,0,0,0,0,04,04CHATEAU ARNOUX SAINT AUBAN,4049,2016
nan,CURBANS,1,0,0,0,0,04,04CURBANS,4066,2016
nan,DIGNE LES BAINS,6,2,0,0,0,04,04DIGNE LES BAINS,4070,2016
nan,ENCHASTRAYES,0,1,0,0,0,04,04ENCHASTRAYES,4073,2016
nan,ESPARRON DE VERDON,0,1,0,0,0,04,04ESPARRON DE VERDON,4081,2016
nan,FORCALQUIER,4,1,0,0,0,04,04FORCALQUIER,4088,2016
nan,GREOUX LES BAINS,4,1,0,0,0,04,04GREOUX LES BAINS,4094,2016
nan,JAUSIERS,0,1,0,0,0,04,04JAUSIERS,4096,2016
nan,MEES,1,0,0,0,0,04,04MEES,4116,2016
nan,MALIJAI,0,1,0,0,0,04,04MALIJAI,4108,2016
nan,MANOSQUE,21,7,0,0,0,04,04MANOSQUE,4112,2016
nan,MOUSTIERS SAINTE MARIE,0,1,1,0,0,04,04MOUSTIERS SAINTE MARIE,4135,2016
nan,ORAISON,3,1,0,0,0,04,04ORAISON,4143,2016
nan,PEYRUIS,1,0,1,0,0,04,04PEYRUIS,4149,2016
nan,PIERREVERT,3,0,0,0,0,04,04PIERREVERT,4152,2016
nan,RIEZ,0,3,0,0,0,04,04RIEZ,4166,2016
nan,SAINTE TULLE,3,0,0,0,0,04,04SAINTE TULLE,4197,2016
nan,SISTERON,5,2,0,0,0,04,04SISTERON,4209,2016
nan,UVERNET FOURS,1,0,0,0,0,04,04UVERNET FOURS,4226,2016
nan,VALENSOLE,1,1,0,0,0,04,04VALENSOLE,4230,2016
nan,VILLENEUVE,2,1,0,0,0,04,04VILLENEUVE,4242,2016
nan,VOLX,1,0,0,0,0,04,04VOLX,4245,2016
Hautes-Alpes (05),SAINT MICHEL DE CHAILLOL,0,1,0,0,0,05,05SAINT MICHEL DE CHAILLOL,5153,2016
Gap,ORCIERES,2,3,0,0,0,05,05ORCIERES,5096,2016
nan,ARGENTIERE LA BESSEE,0,1,0,0,0,05,05ARGENTIERE LA BESSEE,5006,2016
nan,VARS,2,1,0,0,0,05,05VARS,5177,2016
nan,PRUNIERES,0,0,1,0,0,05,05PRUNIERES,5106,2016
nan,VAL BUECH MEOUGE,0,0,1,0,0,05,05VAL BUECH MEOUGE,5118,2016
nan,SIGOYER,0,0,1,0,0,05,05SIGOYER,5168,2016
nan,GUILLESTRE,1,1,0,0,0,05,05GUILLESTRE,5065,2016
nan,CHORGES,1,0,0,0,0,05,05CHORGES,5040,2016
nan,SAINT CHAFFREY,2,5,1,0,0,05,05SAINT CHAFFREY,5133,2016
nan,SAVINES LE LAC,1,0,0,0,0,05,05SAVINES LE LAC,5164,2016
nan,SAINT ANDRE D EMBRUN,0,0,1,0,0,05,05SAINT ANDRE D EMBRUN,5128,2016
nan,SALLE LES ALPES,3,1,0,0,0,05,05SALLE LES ALPES,5161,2016
nan,LARAGNE MONTEGLIN,1,1,0,0,0,05,05LARAGNE MONTEGLIN,5070,2016
nan,NEVACHE,0,1,0,0,0,05,05NEVACHE,5093,2016
nan,BRIANCON,7,3,0,0,0,05,05BRIANCON,5023,2016
nan,BARATIER,0,1,0,0,0,05,05BARATIER,5012,2016
nan,RISOUL,1,6,0,0,0,05,05RISOUL,5119,2016
nan,EMBRUN,1,2,0,0,0,05,05EMBRUN,5046,2016
nan,ORRES,1,4,0,0,0,05,05ORRES,5098,2016
nan,VEYNES,1,1,0,0,0,05,05VEYNES,5179,2016
nan,SERRES,1,0,0,0,0,05,05SERRES,5166,2016
nan,MONETIER LES BAINS,2,1,0,0,0,05,05MONETIER LES BAINS,5079,2016
nan,GAP,16,5,0,0,0,05,05GAP,5061,2016
nan,TALLARD,1,0,0,0,0,05,05TALLARD,5170,2016
nan,MONTGENEVRE,0,4,0,0,0,05,05MONTGENEVRE,5085,2016
nan,VALLOUISE PELVOUX,0,1,0,0,0,05,05VALLOUISE PELVOUX,5101,2016
nan,SAINT BONNET EN CHAMPSAUR,0,1,0,0,0,05,05SAINT BONNET EN CHAMPSAUR,5132,2016
nan,DEVOLUY,0,1,0,0,0,05,05DEVOLUY,5139,2016
nan,PUY SAINT VINCENT,0,5,0,0,0,05,05PUY SAINT VINCENT,5110,2016
Alpes-Maritimes (06),ANTIBES,76,10,0,4,2,06,06ANTIBES,6004,2016
Nice,AURIBEAU SUR SIAGNE,0,1,0,0,0,06,06AURIBEAU SUR SIAGNE,6007,2016
nan,BAR SUR LOUP,2,1,0,0,0,06,06BAR SUR LOUP,6010,2016
nan,BEAULIEU SUR MER,7,3,0,0,0,06,06BEAULIEU SUR MER,6011,2016
nan,BEAUSOLEIL,17,8,0,2,2,06,06BEAUSOLEIL,6012,2016
nan,BIOT,16,0,0,0,0,06,06BIOT,6018,2016
nan,BLAUSASC,0,0,1,0,0,06,06BLAUSASC,6019,2016
nan,BREIL SUR ROYA,1,1,0,0,0,06,06BREIL SUR ROYA,6023,2016
nan,CAGNES SUR MER,31,23,0,0,0,06,06CAGNES SUR MER,6027,2016
nan,CANNES,196,52,0,5,3,06,06CANNES,6029,2016
nan,CAP D AIL,3,4,0,0,0,06,06CAP D AIL,6032,2016
nan,CARROS,17,0,0,0,0,06,06CARROS,6033,2016
nan,COLOMARS,1,2,0,0,0,06,06COLOMARS,6046,2016
nan,CONTES,0,0,1,0,0,06,06CONTES,6048,2016
nan,EZE,5,3,0,0,0,06,06EZE,6059,2016
nan,FALICON,1,1,0,0,0,06,06FALICON,6060,2016
nan,GRASSE,52,7,0,0,0,06,06GRASSE,6069,2016
nan,ISOLA,1,0,0,0,0,06,06ISOLA,6073,2016
nan,COLLE SUR LOUP,7,3,0,0,0,06,06COLLE SUR LOUP,6044,2016
nan,GAUDE,4,0,0,0,0,06,06GAUDE,6065,2016
nan,ROQUETTE SUR SIAGNE,5,3,0,0,0,06,06ROQUETTE SUR SIAGNE,6108,2016
nan,TRINITE,12,4,0,0,0,06,06TRINITE,6149,2016
nan,TURBIE,5,0,0,0,0,06,06TURBIE,6150,2016
nan,CANNET,63,25,0,0,0,06,06CANNET,6030,2016
nan,ROURET,2,0,0,0,0,06,06ROURET,6112,2016
nan,TIGNET,1,0,0,0,0,06,06TIGNET,6140,2016
nan,LEVENS,1,0,0,0,0,06,06LEVENS,6075,2016
nan,MANDELIEU LA NAPOULE,41,14,0,0,0,06,06MANDELIEU LA NAPOULE,6079,2016
nan,MENTON,31,19,0,0,0,06,06MENTON,6083,2016
nan,MOUANS SARTOUX,13,5,0,0,0,06,06MOUANS SARTOUX,6084,2016
nan,MOUGINS,45,7,0,2,1,06,06MOUGINS,6085,2016
nan,NICE,386,183,0,14,9,06,06NICE,6088,2016
nan,PEGOMAS,4,2,0,0,0,06,06PEGOMAS,6090,2016
nan,PEILLE,1,0,0,0,0,06,06PEILLE,6091,2016
nan,PEYMEINADE,6,1,0,0,0,06,06PEYMEINADE,6095,2016
nan,ROQUEBILLIERE,0,1,0,0,0,06,06ROQUEBILLIERE,6103,2016
nan,ROQUEBRUNE CAP MARTIN,14,12,0,0,0,06,06ROQUEBRUNE CAP MARTIN,6104,2016
nan,ROQUEFORT LES PINS,3,2,0,0,0,06,06ROQUEFORT LES PINS,6105,2016
nan,SAINT ANDRE DE LA ROCHE,3,0,0,0,0,06,06SAINT ANDRE DE LA ROCHE,6114,2016
nan,SAINT CEZAIRE SUR SIAGNE,3,0,0,0,0,06,06SAINT CEZAIRE SUR SIAGNE,6118,2016
nan,SAINT ETIENNE DE TINEE,1,1,1,0,0,06,06SAINT ETIENNE DE TINEE,6120,2016
nan,SAINT JEAN CAP FERRAT,7,1,0,0,0,06,06SAINT JEAN CAP FERRAT,6121,2016
nan,SAINT JEANNET,3,0,0,0,0,06,06SAINT JEANNET,6122,2016
nan,SAINT LAURENT DU VAR,34,11,0,0,0,06,06SAINT LAURENT DU VAR,6123,2016
nan,SAINT PAUL DE VENCE,5,1,0,0,0,06,06SAINT PAUL DE VENCE,6128,2016
nan,SAINT VALLIER DE THIEY,1,1,0,0,0,06,06SAINT VALLIER DE THIEY,6130,2016
nan,SAORGE,0,0,1,0,0,06,06SAORGE,6132,2016
nan,SOSPEL,1,0,0,0,0,06,06SOSPEL,6136,2016
nan,SPERACEDES,0,0,2,0,0,06,06SPERACEDES,6137,2016
nan,TENDE,0,0,1,0,0,06,06TENDE,6163,2016
nan,THEOULE SUR MER,4,0,0,0,0,06,06THEOULE SUR MER,6138,2016
nan,TOURRETTE LEVENS,2,0,0,0,0,06,06TOURRETTE LEVENS,6147,2016
nan,TOURRETTES SUR LOUP,1,1,1,0,0,06,06TOURRETTES SUR LOUP,6148,2016
nan,VALBONNE,17,3,0,2,2,06,06VALBONNE,6152,2016
nan,VENCE,21,3,0,0,0,06,06VENCE,6157,2016
nan,VILLEFRANCHE SUR MER,13,4,0,0,0,06,06VILLEFRANCHE SUR MER,6159,2016
nan,VILLENEUVE LOUBET,29,3,0,0,0,06,06VILLENEUVE LOUBET,6161,2016
Ardèche (07),ANNONAY,5,3,1,0,0,07,07ANNONAY,7010,2016
Privas,AUBENAS,4,4,0,0,0,07,07AUBENAS,7019,2016
nan,BEAUCHASTEL,1,0,0,0,0,07,07BEAUCHASTEL,7027,2016
nan,BOULIEU LES ANNONAY,1,0,0,0,0,07,07BOULIEU LES ANNONAY,7041,2016
nan,BOURG SAINT ANDEOL,4,0,0,0,0,07,07BOURG SAINT ANDEOL,7042,2016
nan,CHARMES SUR RHONE,1,0,0,0,0,07,07CHARMES SUR RHONE,7055,2016
nan,DAVEZIEUX,1,0,0,0,0,07,07DAVEZIEUX,7078,2016
nan,GUILHERAND GRANGES,6,0,0,0,0,07,07GUILHERAND GRANGES,7102,2016
nan,JOYEUSE,1,1,0,0,0,07,07JOYEUSE,7110,2016
nan,VOULTE SUR RHONE,3,1,0,0,0,07,07VOULTE SUR RHONE,7349,2016
nan,CHEYLARD,1,0,0,0,0,07,07CHEYLARD,7064,2016
nan,POUZIN,1,1,0,0,0,07,07POUZIN,7181,2016
nan,TEIL,1,2,0,0,0,07,07TEIL,7319,2016
nan,VANS,2,0,0,0,0,07,07VANS,7334,2016
nan,PRIVAS,3,2,0,0,0,07,07PRIVAS,7186,2016
nan,RUOMS,1,4,0,0,0,07,07RUOMS,7201,2016
nan,SAINT PERAY,3,0,0,0,0,07,07SAINT PERAY,7281,2016
nan,TOURNON SUR RHONE,5,0,0,0,0,07,07TOURNON SUR RHONE,7324,2016
nan,VALLON PONT D ARC,1,1,0,0,0,07,07VALLON PONT D ARC,7330,2016
nan,VILLENEUVE DE BERG,1,1,0,0,0,07,07VILLENEUVE DE BERG,7341,2016
nan,VIVIERS,2,0,0,0,0,07,07VIVIERS,7346,2016
Ardennes (08),BAZEILLES,1,0,0,0,0,08,08BAZEILLES,8053,2016
Charleville Meziéres,CARIGNAN,2,0,0,0,0,08,08CARIGNAN,8090,2016
nan,CHARLEVILLE MEZIERES,24,6,0,0,0,08,08CHARLEVILLE MEZIERES,8105,2016
nan,CHOOZ,1,0,0,0,0,08,08CHOOZ,8122,2016
nan,DONCHERY,1,0,0,0,0,08,08DONCHERY,8142,2016
nan,FLOING,0,1,0,0,0,08,08FLOING,8174,2016
nan,FRANCHEVILLE,1,0,0,0,0,08,08FRANCHEVILLE,8180,2016
nan,FROMELENNES,1,0,0,0,0,08,08FROMELENNES,8183,2016
nan,FUMAY,3,1,0,0,0,08,08FUMAY,8185,2016
nan,GESPUNSART,1,0,0,0,0,08,08GESPUNSART,8188,2016
nan,GIVET,5,1,0,0,0,08,08GIVET,8190,2016
nan,HAUTES RIVIERES,1,0,0,0,0,08,08HAUTES RIVIERES,8218,2016
nan,HAYBES,1,0,0,0,0,08,08HAYBES,8222,2016
nan,MOUZON,1,0,0,0,0,08,08MOUZON,8311,2016
nan,NOUVION SUR MEUSE,0,1,0,0,0,08,08NOUVION SUR MEUSE,8327,2016
nan,NOUZONVILLE,5,0,0,0,0,08,08NOUZONVILLE,8328,2016
nan,RETHEL,2,0,0,0,0,08,08RETHEL,8362,2016
nan,REVIN,5,0,0,0,0,08,08REVIN,8363,2016
