Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année,Nombre d habitants,Nom Département
nan,PIERREVERT,3,0.0,0,0,04,04PIERREVERT,4152,2016,0.0,0
nan,RIEZ,0,3.0,0,0,04,04RIEZ,4166,2016,0.0,0
nan,UVERNET FOURS,1,0.0,0,0,04,04UVERNET FOURS,4226,2016,0.0,0
nan,VALENSOLE,1,1.0,0,0,04,04VALENSOLE,4230,2016,0.0,0
nan,VILLENEUVE,2,1.0,0,0,04,04VILLENEUVE,4242,2016,0.0,0
nan,VOLX,1,0.0,0,0,04,04VOLX,4245,2016,0.0,0
nan,ARGENTIERE LA BESSEE,0,1.0,0,0,05,05ARGENTIERE LA BESSEE,5006,2016,0.0,0
nan,PRUNIERES,0,0.0,1,0,05,05PRUNIERES,5106,2016,0.0,0
nan,GUILLESTRE,1,1.0,0,0,05,05GUILLESTRE,5065,2016,0.0,0
nan,SAINT CHAFFREY,2,5.0,1,0,05,05SAINT CHAFFREY,5133,2016,0.0,0
nan,SAINT ANDRE D EMBRUN,0,0.0,1,0,05,05SAINT ANDRE D EMBRUN,5128,2016,0.0,0
nan,SALLE LES ALPES,3,1.0,0,0,05,05SALLE LES ALPES,5161,2016,0.0,0
nan,LARAGNE MONTEGLIN,1,1.0,0,0,05,05LARAGNE MONTEGLIN,5070,2016,0.0,0
nan,BRIANCON,7,3.0,0,0,05,05BRIANCON,5023,2016,0.0,0
nan,BARATIER,0,1.0,0,0,05,05BARATIER,5012,2016,0.0,0
nan,RISOUL,1,6.0,0,0,05,05RISOUL,5119,2016,0.0,0
nan,EMBRUN,1,2.0,0,0,05,05EMBRUN,5046,2016,0.0,0
nan,ORRES,1,4.0,0,0,05,05ORRES,5098,2016,0.0,0
nan,VEYNES,1,1.0,0,0,05,05VEYNES,5179,2016,0.0,0
nan,MONETIER LES BAINS,2,1.0,0,0,05,05MONETIER LES BAINS,5079,2016,0.0,0
nan,GAP,16,5.0,0,0,05,05GAP,5061,2016,0.0,0
