CODGEO,Année,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,somme_ligne
5179,2017,3339.0,1,1.0,0,0,2.0
5179,2018,3161.0,1,2.0,0,0,3.0
6010,2017,3078.0,3,0.0,0,0,3.0
6010,2018,3041.0,2,1.0,0,0,3.0
6011,2017,3756.0,8,1.0,0,0,9.0
6011,2018,3749.0,8,1.0,0,0,9.0
6012,2017,13742.0,20,9.0,0,2,31.0
6012,2018,13800.0,20,9.0,0,2,31.0
6018,2017,10158.0,15,0.0,0,0,15.0
6018,2018,9800.0,15,0.0,0,0,15.0
6023,2017,2324.0,1,0.0,0,0,1.0
6023,2018,2217.0,1,0.0,0,0,1.0
6027,2017,49799.0,35,18.0,0,0,53.0
6027,2018,50000.0,35,15.0,0,0,50.0
6029,2017,75226.0,196,58.0,0,3,257.0
6029,2018,74152.0,191,48.0,0,10,249.0
6030,2017,42016.0,67,26.0,0,0,93.0
6030,2018,43037.0,68,26.0,0,0,94.0
6032,2017,4768.0,3,5.0,0,0,8.0
6032,2018,4727.0,3,5.0,0,0,8.0
6033,2017,12162.0,17,0.0,0,0,17.0
6033,2018,13000.0,17,0.0,0,0,17.0
6044,2017,8049.0,7,3.0,0,0,10.0
6044,2018,8000.0,7,3.0,0,0,10.0
6046,2017,3420.0,2,1.0,0,0,3.0
6046,2018,3377.0,2,1.0,0,0,3.0
6059,2017,2403.0,5,2.0,0,0,7.0
6059,2018,2498.0,5,2.0,0,0,7.0
6060,2017,2007.0,1,1.0,0,0,2.0
6060,2018,2011.0,1,1.0,1,0,3.0
6065,2017,6563.0,4,0.0,0,0,4.0
6065,2018,6800.0,4,0.0,0,0,4.0
6069,2017,51994.0,52,6.0,0,0,58.0
6069,2018,51580.0,53,12.0,0,1,66.0
6073,2017,695.0,1,0.0,0,0,1.0
6073,2018,697.0,1,0.0,0,0,1.0
6075,2017,4786.0,1,0.0,0,0,1.0
6075,2018,4826.0,1,0.0,0,0,1.0
6079,2017,22558.0,41,14.0,0,0,55.0
6079,2018,22381.0,40,11.0,0,0,51.0
6091,2017,2373.0,1,0.0,0,0,1.0
6091,2018,2353.0,1,0.0,0,0,1.0
6095,2017,8262.0,5,1.0,0,0,6.0
6095,2018,8300.0,6,1.0,0,0,7.0
6104,2017,12845.0,16,11.0,0,0,27.0
6104,2018,13000.0,16,11.0,0,0,27.0
6105,2017,6807.0,3,2.0,0,0,5.0
6105,2018,6600.0,3,2.0,0,0,5.0
6108,2017,5537.0,5,3.0,0,0,8.0
6108,2018,5744.0,3,3.0,0,0,6.0
6112,2017,4119.0,2,0.0,0,0,2.0
6112,2018,4200.0,2,0.0,0,0,2.0
6114,2017,5457.0,3,0.0,0,0,3.0
6114,2018,5300.0,3,2.0,0,0,5.0
6118,2017,4010.0,2,2.0,0,0,4.0
6118,2018,4000.0,2,1.0,0,0,3.0
6121,2017,1647.0,10,2.0,0,0,12.0
6121,2018,1800.0,8,1.0,0,0,9.0
6122,2017,4174.0,5,0.0,0,0,5.0
6122,2018,4200.0,4,0.0,0,0,4.0
6123,2017,29112.0,38,11.0,0,0,49.0
6123,2018,30000.0,37,13.0,0,0,50.0
6128,2017,3521.0,5,1.0,0,0,6.0
6128,2018,3441.0,6,1.0,0,0,7.0
6136,2017,3849.0,1,0.0,0,0,1.0
6136,2018,0.0,0,0.0,0,0,0.0
6138,2017,1554.0,4,1.0,0,0,5.0
6138,2018,1501.0,2,4.0,1,0,7.0
6140,2017,3391.0,1,0.0,0,0,1.0
6140,2018,3063.0,2,0.0,0,0,2.0
6147,2017,4924.0,2,0.0,0,0,2.0
6147,2018,4884.0,2,0.0,0,0,2.0
6149,2017,10285.0,11,4.0,0,0,15.0
6149,2018,10500.0,12,4.0,0,0,16.0
6150,2017,3160.0,5,0.0,0,0,5.0
6150,2018,3100.0,5,0.0,0,0,5.0
6152,2017,13734.0,17,5.0,1,0,23.0
6152,2018,13734.0,18,4.0,0,1,23.0
6157,2017,18706.0,21,1.0,0,0,22.0
6157,2018,18536.0,22,0.0,0,0,22.0
6159,2017,5159.0,12,4.0,0,0,16.0
6159,2018,5400.0,14,4.0,0,0,18.0
6161,2017,14423.0,31,5.0,0,0,36.0
6161,2018,14844.0,28,5.0,0,0,33.0
7010,2017,17517.0,7,0.0,1,0,8.0
7010,2018,17000.0,8,0.0,1,0,9.0
