Dep,Nom Ville,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,ARGENTIERE LA BESSEE,2379,0,1,0,0,0,05,05ARGENTIERE LA BESSEE,5006,2017
nan,DEVOLUY,1027,0,2,0,0,0,05,05DEVOLUY,5139,2017
nan,MONETIER LES BAINS,1046,0,2,0,0,0,05,05MONETIER LES BAINS,5079,2017
nan,ORRES,575,1,5,0,0,0,05,05ORRES,5098,2017
nan,MONTGENEVRE,527,0,6,0,0,0,05,05MONTGENEVRE,5085,2017
nan,NEVACHE,370,0,1,0,0,0,05,05NEVACHE,5093,2017
nan,ORCIERES,738,2,3,0,0,0,05,05ORCIERES,5096,2017
nan,PRUNIERES,310,0,0,1,0,0,05,05PRUNIERES,5106,2017
nan,PUY SAINT VINCENT,288,0,7,0,0,0,05,05PUY SAINT VINCENT,5110,2017
nan,RISOUL,669,0,6,0,0,0,05,05RISOUL,5119,2017
nan,SAINT ANDRE D EMBRUN,661,0,0,1,0,0,05,05SAINT ANDRE D EMBRUN,5128,2017
nan,SAINT BONNET EN CHAMPSAUR,2101,0,1,0,0,0,05,05SAINT BONNET EN CHAMPSAUR,5132,2017
nan,SAINT CHAFFREY,1709,2,2,1,0,0,05,05SAINT CHAFFREY,5133,2017
nan,SAINT MICHEL DE CHAILLOL,326,0,1,0,0,0,05,05SAINT MICHEL DE CHAILLOL,5153,2017
nan,SAVINES LE LAC,1107,1,0,0,0,0,05,05SAVINES LE LAC,5164,2017
nan,SERRES,1303,1,0,0,0,0,05,05SERRES,5166,2017
nan,SIGOYER,687,0,0,1,0,0,05,05SIGOYER,5168,2017
nan,TALLARD,2204,1,0,0,0,0,05,05TALLARD,5170,2017
nan,VARS,582,2,5,0,0,0,05,05VARS,5177,2017
nan,VEYNES,3339,1,1,0,0,0,05,05VEYNES,5179,2017
Nice,AURIBEAU SUR SIAGNE,3281,0,2,0,0,0,06,06AURIBEAU SUR SIAGNE,6007,2017
nan,BAR SUR LOUP,3078,3,0,0,0,0,06,06BAR SUR LOUP,6010,2017
nan,BEAULIEU SUR MER,3756,8,1,0,0,0,06,06BEAULIEU SUR MER,6011,2017
