CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
39001,2018,1.0,851.0,39001,2018,0
41176,2018,1.0,853.0,41176,2018,0
34109,2018,1.0,853.0,34109,2018,7
34109,2017,1.0,853.0,34109,2017,10
83080,2018,1.0,853.0,83080,2018,0
45306,2017,1.0,853.0,45306,2017,0
73142,2018,1.0,854.0,73142,2018,9
1046,2018,1.0,857.0,1046,2018,0
1175,2018,1.0,861.0,1175,2018,0
84126,2017,1.0,866.0,84126,2017,12
65388,2018,2.0,867.0,65388,2018,75
64443,2018,1.0,867.0,64443,2018,0
31227,2018,1.0,868.0,31227,2018,0
83080,2017,1.0,872.0,83080,2017,0
73142,2017,1.0,872.0,73142,2017,7
73206,2018,1.0,875.0,73206,2018,12
84126,2018,1.0,876.0,84126,2018,9
64443,2017,1.0,884.0,64443,2017,0
22302,2017,1.0,893.0,22302,2017,30
65388,2017,3.0,899.0,65388,2017,60
83076,2017,1.0,900.0,83076,2017,18
31565,2017,1.0,903.0,31565,2017,5
31565,2018,1.0,903.0,31565,2018,11
31578,2018,1.0,906.0,31578,2018,0
79196,2017,1.0,907.0,79196,2017,8
79196,2018,1.0,907.0,79196,2018,10
34304,2017,1.0,911.0,34304,2017,6
83076,2018,2.0,912.0,83076,2018,21
74188,2018,1.0,923.0,74188,2018,12
31578,2017,1.0,924.0,31578,2017,0
34304,2018,1.0,925.0,34304,2018,5
74188,2017,1.0,926.0,74188,2017,14
14711,2018,1.0,937.0,14711,2018,0
60138,2018,1.0,937.0,60138,2018,122
80126,2018,1.0,938.0,80126,2018,8
76486,2018,1.0,939.0,76486,2018,20
14711,2017,1.0,940.0,14711,2017,0
60138,2017,1.0,940.0,60138,2017,75
67554,2017,1.0,945.0,67554,2017,0
67554,2018,1.0,945.0,67554,2018,0
77354,2018,1.0,947.0,77354,2018,0
77354,2017,1.0,950.0,77354,2017,0
33541,2017,1.0,950.0,33541,2017,8
81069,2018,1.0,952.0,81069,2018,0
76486,2017,1.0,952.0,76486,2017,42
81069,2017,2.0,952.0,81069,2017,0
45069,2017,2.0,954.0,45069,2017,0
58207,2017,1.0,955.0,58207,2017,0
45069,2018,2.0,955.0,45069,2018,0
81202,2018,1.0,959.0,81202,2018,0
58207,2018,1.0,960.0,58207,2018,0
79268,2017,1.0,970.0,79268,2017,5
79268,2018,1.0,970.0,79268,2018,6
80126,2017,1.0,972.0,80126,2017,5
45063,2018,1.0,975.0,45063,2018,0
81202,2017,1.0,977.0,81202,2017,0
45063,2017,1.0,984.0,45063,2017,0
5139,2018,2.0,990.0,5139,2018,46
1407,2017,2.0,990.0,1407,2017,18
33541,2018,1.0,991.0,33541,2018,8
1407,2018,2.0,997.0,1407,2018,15
62899,2018,1.0,998.0,62899,2018,49
38481,2017,1.0,1000.0,38481,2017,0
41084,2017,1.0,1000.0,41084,2017,5
38481,2018,1.0,1011.0,38481,2018,0
41084,2018,1.0,1012.0,41084,2018,8
5161,2018,4.0,1012.0,5161,2018,45
73096,2018,1.0,1015.0,73096,2018,0
12025,2017,1.0,1018.0,12025,2017,0
62899,2017,1.0,1021.0,62899,2017,47
5139,2017,2.0,1027.0,5139,2017,44
3003,2018,1.0,1028.0,3003,2018,22
5161,2017,4.0,1031.0,5161,2017,56
25555,2017,1.0,1031.0,25555,2017,24
25555,2018,1.0,1031.0,25555,2018,12
12089,2018,1.0,1031.0,12089,2018,252
8183,2017,1.0,1033.0,8183,2017,0
41049,2018,1.0,1036.0,41049,2018,0
41049,2017,1.0,1036.0,41049,2017,0
77397,2017,2.0,1037.0,77397,2017,50
3003,2017,1.0,1040.0,3003,2017,17
5079,2018,3.0,1040.0,5079,2018,39
73096,2017,1.0,1041.0,73096,2017,0
38198,2018,1.0,1042.0,38198,2018,9
38198,2017,1.0,1044.0,38198,2017,8
33300,2017,4.0,1046.0,33300,2017,17
5079,2017,2.0,1046.0,5079,2017,24
33300,2018,4.0,1046.0,33300,2018,16
60635,2017,2.0,1049.0,60635,2017,17
66096,2017,1.0,1050.0,66096,2017,10
66096,2018,1.0,1050.0,66096,2018,5
31320,2018,1.0,1052.0,31320,2018,0
60631,2018,1.0,1056.0,60631,2018,0
60631,2017,1.0,1056.0,60631,2017,0
26138,2018,1.0,1065.0,26138,2018,0
60635,2018,2.0,1068.0,60635,2018,26
8183,2018,1.0,1068.0,8183,2018,0
8188,2018,1.0,1069.0,8188,2018,5
31320,2017,1.0,1081.0,31320,2017,0
77439,2018,1.0,1082.0,77439,2018,0
89337,2018,1.0,1083.0,89337,2018,6
89337,2017,1.0,1083.0,89337,2017,5
77439,2017,2.0,1086.0,77439,2017,0
60642,2017,1.0,1090.0,60642,2017,0
1388,2018,1.0,1095.0,1388,2018,13
77475,2018,2.0,1097.0,77475,2018,163
8188,2017,1.0,1097.0,8188,2017,6
77475,2017,1.0,1097.0,77475,2017,214
1388,2017,1.0,1097.0,1388,2017,11
83051,2017,1.0,1099.0,83051,2017,7
31346,2018,1.0,1100.0,31346,2018,0
32426,2017,1.0,1100.0,32426,2017,0
32426,2018,1.0,1100.0,32426,2018,0
31346,2017,1.0,1100.0,31346,2017,0
68277,2018,4.0,1103.0,68277,2018,34
60639,2017,1.0,1106.0,60639,2017,53
60639,2018,1.0,1114.0,60639,2018,46
11285,2017,1.0,1124.0,11285,2017,23
41239,2017,1.0,1124.0,41239,2017,0
21554,2017,1.0,1124.0,21554,2017,15
34002,2018,1.0,1124.0,34002,2018,0
34002,2017,1.0,1124.0,34002,2017,0
41239,2018,1.0,1127.0,41239,2018,0
60642,2018,1.0,1129.0,60642,2018,0
62712,2018,1.0,1131.0,62712,2018,0
4096,2018,1.0,1134.0,4096,2018,8
83051,2018,2.0,1141.0,83051,2018,5
89167,2018,1.0,1142.0,89167,2018,6
9188,2017,2.0,1144.0,9188,2017,0
34214,2018,1.0,1153.0,34214,2018,6
